"Token","Element","Attribute","Role","Value"
"md.comp.plain-tooltip.container.color","Container","Color","Inverse surface","md.sys.color.inverse-surface"
"md.comp.plain-tooltip.container.shape",,"Shape","Extra small","md.sys.shape.corner.extra-small"
"md.comp.plain-tooltip.supporting-text.color","Supporting text","Color","Inverse on surface","md.sys.color.on-inverse-surface"
"md.comp.plain-tooltip.supporting-text.font",,"Font","Body small","md.sys.typescale.body-small.font"
"md.comp.plain-tooltip.supporting-text.line-height",,"Line height","Body small","md.sys.typescale.body-small.line-height"
"md.comp.plain-tooltip.supporting-text.size",,"Size","Body small","md.sys.typescale.body-small.size"
"md.comp.plain-tooltip.supporting-text.weight",,"Weight","Body small","md.sys.typescale.body-small.weight"
"md.comp.plain-tooltip.supporting-text.tracking",,"Tracking","Body small","md.sys.typescale.body-small.tracking"
